Ulasan,Rating,text_clean_preprocessed,label_sentiment
Thanks..........................................,1,thanks,1
Dusnya hancur gan. Packingnya terlalu dipaksakan,2,dus hancur gan packingnya paksa,2
Kabel nya gak bisa ngecash. Buang2 duit,1,kabel nya ngecash buang2 duit,0
Paket sdh diterima tp Barangnya pada lecet,2,paket sdh terima barang lecet,0
Barang kosong...................,1,barang kosong,0
Rada keras lapnya... Tapi boleh lah,2,rada keras lap,2
"barang yg ini kosong gak ada konfirmasi,barang yg lain lama d kirimnya",1,barang kosong konfirmasi barang kirim,0
Next time...Ubah status-nya menjadi kosong donk gan...,1,next time ubah status kosong donk gan,0
Cukup kecewa karena headtset yang sebelah kiri mati tapi suaranya cukup bagua,2,kecewa headtset belah kiri mati suara bagua,2
Dikembalikan uang tanpa info barang kosong :(,2,kembali uang info barang kosong,2
Respons penjual baik. Barang yg dikirim tidak sesuai spek yg ditawarkan. Agak kecewa.,2,respons jual barang kirim sesuai spek tawar kecewa,0
Batre hanya bertahan 20 mnit drop langsung pd saat menyetel mp3,1,batre tahan 20 mnit drop langsung setel mp3,2
Barang rusak...saya sudah memberikan bukti foto n video...tp prosesnya lama...jadi saya memilih membatalkan komplenan...dgn hasil uang tidak kembali...dan barang tidak saya kembalikan...,1,barang rusak bukti foto n video proses pilih batal komplenan hasil uang barang kembali,2
Kabel gak mau fast charging,1,kabel fast charging,0
Barang tidak ada tapi tertulis di stock ada....,1,barang tulis stock,0
Tidak bisa nempel di dasboard,1,nempel dasboard,0
Barang nya baru di pakai 10 menit udah low bat padahal di cas 1 malam,2,barang nya pakai 10 menit udah low bat cas 1 malam,2
Tidak bisa dipakai gan.sebelumnya baterai habis.setelah di charge TDK bisa konek bluetooth nya. akhirnya TDK bisa dipakai...,2,pakai gansebelumnya baterai habissetelah charge konek bluetooth nya pakai,0
Beli 3. Cuma 1 yang bisa dipakai,1,beli 3 1 pakai,0
Tampilan  yg di kirim berbeda,2,tampil kirim beda,0
"pesen 6pc, yg retak 1 retak tp nyalah &amp; yg atu lg lampu nya ky mau putus gitu, tp yg lain nya oke gk da mslh, tlg dicek lg sblm anda kirim brg2 nya &amp; usahakan tdk da yg cacat...",2,sen 6pc retak 1 retak nyalah amp atu lg lampu nya ky putus gitu nya oke da mslh tlg cek lg sblm kirim brg2 nya amp usaha da cacat,2
Ternyata barang kosong.... seharusnya konfirmasi dulu mas kalau kosong biar bisa di tukar sama yang lain,1,barang kosong konfirmasi mas kosong biar tukar,0
Barang tidak sesuai dgn gambar  order,2,barang sesuai gambar order,1
walaupun brng sesuai untk pengiriman lama  respon y,1,brng sesuai untk kirim respon,1
Mohon diperbaiki pelayanannya.. HARGAI PEMBELI.. Jangan asal kirim pesanan kl barang gak ada  atau gak sesuai pesanan.. Nanya dulu sharusnya..masih mau gak,2,mohon baik layan harga beli kirim pesan kl barang sesuai pesan nanya sharusnya,1
"barang tdk sesuai, klo gk ada jngn bilang ready toko online bnyk yg jjr, hadeeeeeh",1,barang sesuai klo jngn bilang ready toko online bnyk jjr hadeeeeeh,1
"Barang tidak dikirim, tidak ada pemberitahuan kalau barng kosong",1,barang kirim pemberitahuan barng kosong,0
Tombol hapus tidak berfungsi its freaking bad,1,tombol hapus fungsi freaking bad,2
"Beli ini 2, tombol penghapusnya ndk bisa fungsi semua, mau komplain harus ada vidio, posisi keluar kota hanya dapat informasi barang ndk berfungsi semua",1,beli 2 tombol hapus ndk fungsi komplain vidio posisi kota informasi barang ndk fungsi,0
Tombol hapus tidak berfungsi,2,tombol hapus fungsi,0
"Warna sesuai pesanan, cuma tulisan ato gambar tidak jelas kurang terang...bentuk  lcd tidak sesuai dengan tampilan gambar di tokopedia...padahal awalnya saya bilang cancel...tapi tetep dijalanin...ya so so lah dengan harga segitu ð",2,warna sesuai pesan tulis ato gambar terang bentuk lcd sesuai tampil gambar tokopedia bilang cancel tetep dijalanin ya harga segitu ,1
Tombol hapus tidak berfungsi...,1,tombol hapus fungsi,0
"Orderan pertama 1pcs rongsok, nyesel banget irder ditoko ini. Harusnya nunggu orderan oertama dateng dulu baru order lagi. Dan bener aja orderan kedua juga dapet barang rongsok. Klo masalah pengiriman lama masih bisa di toleransi lah. Ini barang tongsok di jual. Tolong dong diperbaiki kualias jualannya. Percuma dong beli klo ngak bisa dipake. 
Uangnya emang ngak seberapa tapi tolong dong kepercayaan pembeli dijaga!!!!!
Agar berfaedah buat yg beli berkah juga buat yg jual.
Terus packingan juga jgn cuma bubble wrap, percuma domg ada biaya asuransi klo packingan ngak dijaga.",2,order 1pcs rongsok nyesel banget irder toko nunggu order oertama dateng order bener order dapet barang rongsok klo kirim toleransi barang tongsok jual tolong baik alias jual beli klo ngak dipake uang emang ngak tolong percaya beli jaga faedah beli berkah jual packingan jgn bubble wrap domg biaya asuransi klo packingan ngak jaga,1
Barang yg dikirim di pesanan berikutnya beda dgn yg pertama tanpa tombol on off  bermasalah tidak bisa di bersihkan coretannya.,1,barang kirim pesan beda tombol masalah sih coret,2
Barang baru dipakai beberapa hari tidak bisa di clear bekas coretannya.,2,barang pakai clear bekas coret,2
"Pesanan di prosesnya lama padahal langsung konfirmasi warna minta warna hitam setelah checkout tp ngotot di tolak penjual tetep kirim random, dan ternyata barang yg dikirimkan barang rusak tidak bisa reset display setelah di corat coret pantes ngotot kirim random. Pesan senin gak di proses2 dan br sampai hari jumat dan cuma jd rongsokan. NOT RECOMMENDED SELLER",1,pesan proses langsung konfirmasi warna warna hitam checkout ngotot tolak jual tetep kirim random barang kirim barang rusak reset display corat coret pantes ngotot kirim random pesan senin proses2 br jumat rongsok recommended seller,2
Dah ditulis tp ndk bisa dihapusð­ð­ð­ð­,2,dah tulis ndk hapus,0
Barangnya kosooooong...,1,barang kosooooong,0
SAMPAH! Anggap aja sedekah deh... Ini produk sampah. Langsung gak bisa dipake begitu dibuka... Stay away!,1,sampah anggap sedekah deh produk sampah langsung dipake buka stay away,2
Minta kuning di kasih gold.  Tak ada omongan pula,1,kuning kasih gold omong,0
"Gak ad barang!!
Mohon diperbaiki pelayanannya.. HARGAI PEMBELI.. Jangan asal kirim pesanan kl barang gak ada  atau gak sesuai pesanan.. Nanya dulu sharusnya..masih mau gak",1,ad barang mohon baik layan harga beli kirim pesan kl barang sesuai pesan nanya sharusnya,1
Salah ukuran............ Kurang diperhatikan bagi penjual,1,salah ukur perhati jual,2
"Barang tidak fungsi, setiap pengiriman mohon dicek kembali....",1,barang fungsi kirim mohon cek,1
"Sangat kecewa, saya udah tanya&amp;#34; readynya barang dari malam tgl 2,  saya order subuh 04.55 tangl 3. bukannya dikirim pagi atau sore ditgl 3. malah di undur terus pengiriman dan selalu beralasan, saya BEBERAPA KALI MINTA CANCEL DAN SERIBU ALASAN JUGA.
saya kaya gini karena butuh cepan converter hdmi nya.  3 BARANG LAINNYA. terpaksa saya order ditoko kota saya. jd yg paket ini ngak kepake. percuma, karena presentasi saya senin td pagi.
saya order ditoko ini karena hitungan saya sabtu minggu sudah sampe jika dikirim tgl 3 sore. karena jnt minggu tetap buka.
 TAUnya DIKIRIM TGL 5 siang,  baru sampe sekarang, buang buang uang.  disruh cancel otomatis  dicancel pun alasannya bayak.",1,kecewa udah amp 34 readynya barang malam tgl 2 order subuh 0455 tangl 3 kirim pagi sore ditgl 3 undur kirim alas kali cancel ribu alas kaya gin butuh cepan converter hdmi nya 3 barang paksa order toko kota paket ngak kepake presentasi senin td pagi order toko hitung sabtu minggu sampe kirim tgl 3 sore jnt minggu buka tau kirim tgl 5 siang sampe buang buang uang disruh cancel otomatis dicancel alas bayak,2
"Barang sesuai dengan gambar.
Kualitas suara kurang baik. Selalu berdengung kecuali saat mic di off. Saran tolong pilihan jasa kurir ditambah. Jangan j&amp;at saja. Soalnya kemarin saya ambil sendiri di gudang",2,barang sesuai gambar kualitas suara dengung kecuali mic saran tolong pilih jasa kurir tambah j amp kemarin ambil gudang,1
Tdk ada logo jbl nya huuuffffg,2,logo jbl nya huuuffffg,0
Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,1,sen 4 barang nyampe 2 walopun refund cash ad konfirmasi,0
Sory ya gan gw kecewa ð,1,sory ya gan gw kecewa ,2
"barang tidak dikirim, tp cukup tanggungjawab lah. karna di kembalikan uang cash di selipkan kiriman yg lain",1,barang kirim tanggungjawab karna kembali uang cash selip kirim,1
Barang tidak fungsi di charger malah panas,1,barang fungsi charger panas,0
Maaf tidak sesuai deskripsi. Harusnya konfirmasi dulu sebelum kirim jika beda dengan deskripsi. Keterangan doff yg datang bening botolnya. Trims,2,maaf sesuai deskripsi konfirmasi kirim beda deskripsi terang doff bening botol trims,1
Pesanan tidak sesuai deskripsi. Pesan Ni-CD dikirim Ni-MH,1,pesan sesuai deskripsi pesan nicd kirim nimh,1
Tidak sesuai di gambar ya..tp harga segitu..ya sudah lah ya.  ....,2,sesuai gambar ya harga segitu ya ya,1
cukup baik sesuai harga,2,sesuai harga,1
jangan beli disini barangnya gak bagus,1,beli barang bagus,1
"Barang tidak berfungsi baik , face id jadi tidak jalan ,  face id menyatu dengan flexible connector speaker",1,barang fungsi face id jalan face id satu flexible connector speaker,1
"Tetap blackscreen LCD nya gan,terimakasih atas pengalaman serta tambahan ilmunya gan,mau diretur tetap ga bisa posisi lcd sudah terpasang diframe nya,tested blackscreen,tp saya biarkan sampai lampu layar padam(posisi standby.trus kami tekan tombol power bisa masuk home/menu terlihat jelas/normal,setelah kami pasang di frame dgn sangat hati2 jd blackscreen sampai seterusnya,diretur jelas ga bisa,segel sudah rusak",1,blackscreen lcd nya gan terimakasih alam tambah ilmu gan retur posisi lcd pasang diframe nya tested blackscreen biar lampu layar padam posisi standbytrus tekan tombol power masuk homemenu jelasnormal pasang frame hati2 blackscreen retur segel rusak,2
"salah kasih barang, hati2 untuk toko ini",1,salah kasih barang hati2 toko,2
Touch screen tidak berfungi,1,touch screen fungi,0
"Bukan original apple melainkan original spare part, mohon lain kali tidak terulang hal seperti ini",1,original apple original spare part mohon kali ulang,1
Kualitas parah.. kirimin pertama blank.. returan kedap kedip bergaris..,1,kualitas parah kirimin blank retur kedap kedip gar,2
Baru dipakai 2 hari udah gk bisa nyala lcdnya,1,pakai 2 udah nyala lcdnya,0
TS nya ga fungsi ........,1,ts nya fungsi,0
"Seller ketik dilapaknya Advan S5E Full View 4G, padahal buat S5E Pro 4G, kayaknya judul lapak udah diganti. pas dichat jawabnya datar, katanya tak ada retur kalo salah tipe, padahal sellernya yg salah ketik., tak ada solusi, akhirnya, ya begono ...",1,seller ketik lapak advan s5e full view 4g s5e pro 4g kayak judul lapak udah ganti pas dichat datar retur kalo salah tipe sellernya salah ketik solusi ya begono,2
Barang cepat sampe cuma nga berfungsi atau nga bisa pake gan . Bukan ori juga,1,barang cepat sampe nga fungsi nga pake gan ori,1
"barang sudah sy trima, cuma frame nya tidak sesuai pesanan, di chat buat solusi cuma di baca saja, sungguh kecewa.",1,barang sy trima frame nya sesuai pesan chat solusi baca sungguh kecewa,0
lubang tdk presisi dan miring.,2,lubang presisi miring,2
"memuaskan. I love Tokopedi
a.suksma Tokopedia.",2,muas love tokopedi asuksma tokopedia,1
longgar .............................................,1,longgar,0
maf gan.anti gores ny.kok ada gelembung gt saat d pakai.jd jelek kelihatan hpny.,1,maf gananti gores nykok gelembung gt pakaijd jelek hpny,2
"Keterangan isi 10,,ternyata 1 biji,, biji lo tuh muahal baut segitu 5rb",1,terang isi 10 1 biji biji lo tuh muahal baut segitu 5rb,2
Sesuai dengan pesanan tapi packing kurang rapi,2,sesuai pesan packing rapi,1
"barang ok, tp pelayanan kurang",2,barang ok layan,1
"Produk tidak dikirim, uangnya diambil penjual",1,produk kirim uang ambil jual,0
"Bukan barang baru, ic mati",1,barang ic mati,2
Fast respon cuma barang tdk sesuai foto ok makasi ya,2,fast respon barang sesuai foto ok makas ya,1
"Dengan tidak mengurangi rasa hormat terhadap penjual. Tapi kelima IC ini palsu. Tidak bisa berfungsi mengantikan IC yg asli. Sekali mohon maaf saya tahu ini bukan salah penjual, pemalsuan semikonduktor sering terjadi belakangan ini yg berasal dari pabrikan.",1,kurang hormat jual ic palsu fungsi anti ic asli mohon maaf salah jual palsu semikonduktor asal pabrikan,2
hanya ini yg sampai.....,1,,0
Barang tidak lengkap .tidak sesuwai jawaban diskusi....,1,barang lengkap sesuwai diskusi,0
"Photo transistor tidak sesuai dengan produk yg dikirim. Yang dikirim transistor palsu, tulisan di transistor hanya sablonan. Begitu transistor di pasang langsung jebol",1,photo transistor sesuai produk kirim kirim transistor palsu tulis transistor sablon transistor pasang langsung jebol,2
Barangnya sampai tidak sesuai pesanan,1,barang sesuai pesan,1
"alhamduliah, barang sudah diterima.
tapi kang, kabel usb nyakok warna grey ? padahal saya pesan putih.
setelah saya  test  barangnya, alhamdulialh lancar.
trims ya kang.",2,alhamduliah barang terima kang kabel usb nyakok warna grey pesan putih test barang alhamdulialh lancar trims ya kang,1
"kayaknya enggak ori, pengisian lambat tidak seperti orinya",2,kayak ori isi lambat orinya,2
"Terima kasih yaaa, order apa yg dikirim apa. Padahal sdh diskusi produk ready  notes di invoice lengkap. :)",2,terima kasih yaaa order kirim sdh diskusi produk ready notes invoice lengkap,1
Pelayanan kurang memuaskan.slow respon sangat,1,layan memuaskanslow respon,0
Merk campur beda2.. kualitas sesuai harga,1,merk campur beda2 kualitas sesuai harga,1
produknya ukurannya melebar. gak sesuai gambar. tolong ditingkatkan lagi kualitas barang gan.,1,produk ukur lebar sesuai gambar tolong tingkat kualitas barang gan,1
"Tidak sesuai pesanan,pesan size M dateng size XL",2,sesuai pesan pesan size dateng size xl,1
Kesesuaian dengan deskripsi kurang gk pake busa hanya pake kawat.,1,sesuai deskripsi pake busa pake kawat,1
"Barang sudah diterima  tidak sesuai dgn ukurannya, ukuran XL anak2",2,barang terima sesuai ukur ukur xl anak2,1
"tidak sesuai dengan deskripsi

Kecewa sama online shop ini...

Awalnya saya kira ya kalau bodypack mah aman... Bagus jadi mau coba... Jadi setelah dikirim saya lihatnya belakangan... Pas di lihat eh ternyata...

Detail ukuran tidak jelas &amp; meleset dr angkanya... 

Yang paling menonjol di sletingnya yg tidak sesuai... Ingin retur kalau bisa...

Saya meragukan ini toko official store dari bodypack...",1,sesuai deskripsi kecewa online shop ya bodypack mah aman bagus coba kirim lihat pas lihat eh detail ukur amp meleset angka tonjol sletingnya sesuai retur ragu toko official store bodypack,1
Official store tp buruk. Saya kecewa,1,official store buruk kecewa,2
"Yang di pesan dan Beda yang dikirim,",1,pesan beda kirim,0
Ga sesuai kaya barang loakan,1,sesuai kaya barang loak,1
"Gak sesuai gambar, bahannya mirip jaket 50rbuan",1,sesuai gambar bahan jaket 50rbuan,1
harga 200rb&#39;an . kualitas 70 rb&#39;an . maap sedikit kecewa,1,harga 200rb 39 kualitas 70 rb 39 maap kecewa,2
Sssobek...........,1,sssobek,0
Barang sudah 2 minggu sy kirim Sis.tolong dikirim kembali krn sepatu yg dikomplen mau dihadiahkan ke saudara..sy tunggu kirimannya dr bata official,2,barang 2 minggu sy kirim sistolong kirim krn sepatu dikomplen hadiah saudara sy tunggu kirim bata official,1
"Bagus sich tapi sayang banget blm di pakai udah sobek dikit2 dipinggirnya,,kalau mau kirim dicek dulu ya...",2,bagus sich sayang banget blm pakai udah sobek dikit2 pinggir kirim cek ya,1
sangat kecewa. produk yang dikirim tidak seperti di gambar. yang dikirim malah warna putih. benar benar kecewa,1,kecewa produk kirim gambar kirim warna putih kecewa,2
Sangat buruk sekali...saya uda bayar sy komplen uda saya kirim barangnya  tapi barang tidak dikirim kembali kesaya..sangat buruk pelayanannya dan sangat menyesal sama percaya bgitu saja.katanya mau kirim tetapi sy ud mnunggu cukup lama tidak dikirim..sangat sangat kecewa  telah membeli,1,buruk uda bayar sy komplen uda kirim barang barang kirim saya buruk layan sesal percaya bgitu sajakatanya kirim sy ud mnunggu kirim kecewa beli,2
"Proses barang lama, padahal lagi butuh :(",2,proses barang butuh,0
"trimakasih 1hr lgsug sampe,maf bru konfr",2,trimakasih 1hr lgsug sampe maf bru konfr,0
"stock lama
sudah bnyk terkelupas",1,stock bnyk kelupas,0
"Kegedean banget no 36 kyk no 37, gk kepake akhirnya.",2,gede banget 36 kyk 37 kepake,0
"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih  satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",1,kecewa berat 1 respon jual 1 jam auto cancel resi diinput 2 ganti size via chat 34 iya 34 ganti 3 ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim 4 salah tulis alamat paket misroute 2 kali 5 hubung kurir revisi alamat 34 cek 34 hilang ubah feedback tanggung selesai,2
"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih  satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",1,kecewa berat 1 respon jual 1 jam auto cancel resi diinput 2 ganti size via chat 34 iya 34 ganti 3 ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim 4 salah tulis alamat paket misroute 2 kali 5 hubung kurir revisi alamat 34 cek 34 hilang ubah feedback tanggung selesai,2
Produk out of stock dipakai nomor resi produk pengiriman sebelumnya. Saya sampai curiga sama tetangga  kurir JNE. Memang sudah dikasih barang pengganti tapi tetap saja ketidak telitian kalian membuat hubungan saya dengan orang lain tidak baik. Mohon diperbaiki ke depannya.,1,produk stock pakai nomor resi produk kirim curiga tetangga kurir jne kasih barang ganti tidak teliti hubung orang mohon baik depan,1
"Dari pemesanan sampai pengiriman membutuhkan waktu cukup lama sampai 3 hari baru di kirim. Packing selama itu?? Mungkin pesanan banyak tapi merchant lain pun sama kayaknya. Padahal kalo di lihat dari tracknya sehari aja udah sampai, barang yang biasanya saya pesan normal diterima 1-2 hari ini bisa seminggu.",2,mesan kirim butuh 3 kirim packing pesan merchant kayak kalo lihat tracknya hari udah barang pesan normal terima 12 minggu,2
"Udah order ternyata stok ga tersedia,  harusnya klo ga ada jangan dulu di pasang di etalasee",1,udah order stok sedia klo pasang etalasee,0
..................................,1,,0
"sakit pake di kaki, lecet.",2,sakit pake kaki lecet,2
sepatunya berbeda dengan fotonya ..... tingkatkan profesionalisme agar tidak memalukan sebagai official store bata,2,sepatu beda foto tingkat profesionalisme malu official store bata,2
"Kulit sepatu ada yg sedikit sobek, bagian pita hampir copot",1,kulit sepatu sobek pita copot,2
Pesen julio dikirimnya evoluti,2,sen julio kirim evoluti,0
"Kecewa, Sepatu baru dipake jalan 1x jangka waktu 1 jam tali putus... 
bahan kulit juga tidak mulus ada lem2",1,kecewa sepatu dipake jalan 1x jangka 1 jam tali putus bahan kulit mulus lem2,2
Hmm gimana ya :) parah si,1,hmm gimana ya parah si,2
Kecewa banget pilih ukuran dewasa no 38 malah dikirim no 5 ukuran anak,1,kecewa banget pilih ukur dewasa 38 kirim 5 ukur anak,1
Produk jelek dipakai tapaknya lepas,1,produk jelek pakai tapak lepas,2
"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih  satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",1,kecewa berat 1 respon jual 1 jam auto cancel resi diinput 2 ganti size via chat 34 iya 34 ganti 3 ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim 4 salah tulis alamat paket misroute 2 kali 5 hubung kurir revisi alamat 34 cek 34 hilang ubah feedback tanggung selesai,2
"Kecewa, barang blm sampai...............",1,kecewa barang blm,2
"GAN, KALAU PACKING YG BENER AJA DONG. MASA KERTAS NYA ROBEK! KECEWA",1,gan packing bener kertas nya robek kecewa,2
"Official Brand Bata menjual barang reject tanpa keterangan, sangat mengecawakan..",2,official brand bata jual barang reject terang cawak,2
"barang sudah di terima, size gk sesuai.
minta tuker ,malah gk di kasih alamat nya.",1,barang terima size sesuai tuker kasih alamat nya,1
"saya, blm nerima barang nya Sandal Bata obama no 41, sudah saya upayakan, diskusi ke toped, saya suruh mengaupload foto barang, gmn mo foto, nerima barang nya aja enggk, mohon di cek lagi transaksi atas nama may ahmada umbara, tasikmalaya, satu invoice dg pesanan saya ke sandal anak bubblegumers, transaksi sudah selesai tp saya gk nerima barang dari toko ini, silahkan cek transaksi nya, no resi pun tidak pernah saya terima.terimakasih.",1,blm nerima barang nya sandal bata obama 41 upaya diskusi toped suruh mengaupload foto barang gmn mo foto nerima barang nya enggk mohon cek transaksi nama may ahmada umbara tasikmalaya invoice dg pesan sandal anak bubblegumers transaksi selesai nerima barang toko silah cek transaksi nya resi terimaterimakasih,1
"Ukurannya lebih besar dari deskripsi  sendal pd umumnya. Di catatan toko tertulis kebijakan tukar ukuran bisa. Tpi kenyataannya pelayanan SO BAD!!! klo mmg gk bisa tukar, blg dri awal gpp. Ini malah di kacangin!! SO BAD!!!",1,ukur deskripsi sendal catat toko tulis bijak tukar ukur tpi nyata layan bad klo mmg tukar blg dri gpp kacangin bad,2
minta tahu dikirim tempe...!,1,kirim tempe,0
"Order pakai Jnt tapi dikirim pakai POS 
Barang sesuai pesanan  packing rapi.
Terimakasih",2,order pakai jnt kirim pakai pos barang sesuai pesan packing rapi terimakasih,1
"APA YANG MAU SAYA ULAS, PRODUK INI TIDAK JADI DIKIRIM OLEH PENJUAL, !!!

Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",1,ulas produk kirim jual kecewa berat 1 respon jual 1 jam auto cancel resi diinput 2 ganti size via chat 34 iya 34 ganti 3 ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim 4 salah tulis alamat paket misroute 2 kali 5 hubung kurir revisi alamat 34 cek 34 hilang ubah feedback tanggung selesai,2
"Saya kecewa  kesel banget sama official store bata. Beli sandal nomor 42 yg dikirim malah nomor 40. Pantes aja gak muat pas di coba. Katanya ada nomor 42 pas saya chat. Saya kira gak ada masalah dalam pengiriman barang, ternyata ada. Mana udah terlanjut klik &#34;selesai&#34; sebelum paket dibuka krn mikirnya gak ada masalah. Tolong ya tanggung jawabnya sbg penjual ini sandalnya. Tks.",1,kecewa kesel banget official store bata beli sandal nomor 42 kirim nomor 40 pantes muat pas coba nomor 42 pas chat kirim barang udah lanjut klik 34 selesai 34 paket buka krn mikirnya tolong ya tanggung sbg jual sandal tks,2
"pemakaian satu hari , bisa jebol begini ?",1,pakai jebol,0
Kayak sepatu bekas sudah mengelupas..,1,kayak sepatu bekas kelupas,2
Barang reject dijual murah.. payah diskonnya nipu. Kapok beli Bata di online,1,barang reject jual murah payah diskon nipu kapok beli bata online,1
"Barang tidak sesuai dengan deskripsinya, packing asal2an (kardus sobek)",1,barang sesuai deskripsi packing asal2an kardus sobek,1
Ukurannya tdk sesuai dengan keterangan jd sandalnya kurang besar 1 nomer diatasnya walau sampainya cepat.....,1,ukur sesuai terang sandal 1 nomer atas sampai cepat,1
"Minta 45, malah kasih 43.",1,45 kasih 43,0
Ukuran yang di  minta tidak sesuai.,1,ukur sesuai,1
5 tahun saya member BATA saat ini saya sangat kecewa dengan pelayanan BATA Ecommerce. sungguh buruk !!!!,1,5 member bata kecewa layan bata ecommerce sungguh buruk,2
Produk out of stock dipakai nomor resi produk pengiriman sebelumnya. Saya sampai curiga sama tetangga kurir JNE. Memang sudah dikasih barang pengganti tapi tetap saja ketidak telitian kalian membuat hubungan saya dengan orang lain tidak baik. Mohon diperbaiki ke depannya.,1,produk stock pakai nomor resi produk kirim curiga tetangga kurir jne kasih barang ganti tidak teliti hubung orang mohon baik depan,1
"barang salah kirim
ongkos kirim bolak balik nya sama kyk harga spatu nya
jadi terima aja deh",1,barang salah kirim ongkos kirim bolak nya kyk harga spatu nya terima deh,2
"Produk memang sesuai deskripsi,tp pengiriman 26 hr bru sampai stelah bbrp kli teguran...ekspektasi bs unt lebaran,tp kenyataannya ga bgt.",1,produk sesuai deskripsi kirim 26 hr bru stelah bbrp kli tegur ekspektasi bs unt lebaran nyata banget,1
Dos packing ancur parah,1,dos packing ancur parah,2
"saya pesan warna putih tapi yang dikirim warna abu, tolong lebih teliti mengecek barang sebelum dikirim.",2,pesan warna putih kirim warna abu tolong teliti ecek barang kirim,0
"Sudah d tulis d catatan no.35 tp d kirim no.36, katanya sesuai sistem, krn saya pesan d no.36, oke gpp, tp d seler lain meski sesuai sistem tp kalau ada catatan utk penjual, seller nya nanya dulu, ini ngga. Bukan ngomel tp fakta, Trims barang bagus dan cepat, tp kegedean. Trims..",2,tulis catat no35 kirim no36 sesuai sistem krn pesan no36 oke gpp seler sesuai sistem catat utk jual seller nya nanya ngga ngomel fakta trims barang bagus cepat gede trims,1
"Repon pengiriman biasa aj gak cepet, buat barang kualitas lumayan, tp ada kena lem bagian kanan kayak d foto, harus nya di cek lagi sebelum kirim dan kotak nya jg ancur banget gak rapi",2,repon kirim aj cepet barang kualitas lumayan kena lem kanan kayak foto nya cek kirim kotak nya ancur banget rapi,1
"Saya pesan nomer 40, yang dtg nomer 39. Jd kekecilan. Mentang2 beli di flash sale, dikasihnya gak sesuai. Kecewa. Bgt",1,pesan nomer 40 dtg nomer 39 kecil mentang2 beli flash sale kasih sesuai kecewa banget,2
Terlalu kecil.. Rantai terlalu pendek,1,rantai pendek,2
pesan tanggal 5 sampe tanggal 11 super sekali,2,pesan tanggal 5 sampe tanggal 11 super,1
kualitas tidak sesuai harga,1,kualitas sesuai harga,1
Salah satu Official store yg paling mengecewakan. Saya sudah membayar extra untuk JNE Yes diorder 4 hari sebelum liburan tapi saya harus menunggu 11 hari hingga sampai ke tangan saya. Barang yg dikirim pun tidak mulus dan seperti barang reject. Not recommended!,1,salah official store kecewa bayar extra jne yes order 4 libur tunggu 11 tangan barang kirim mulus barang reject recommended,2
